name	address	data_type	direction	comment	conveyor
CV06.ProtectFb	%I7.1	Bool	input	Protection feedback	CV06
CV06.Ready	%I7.2	Bool	input	Section ready	CV06
CV06.RunCmd	%Q1.5	Bool	output	Run command	CV06
CV06.FaultLamp	%Q1.6	Bool	output	Fault lamp	CV06
CV06.RevCmd	%Q1.7	Bool	output	Reverse command	CV06
CV06.VfdFault	%I7.3	Bool	input	VFD fault	CV06
CV06.VfdReady	%I7.4	Bool	input	VFD ready	CV06
CV06.SpeedAct	%IW70	Int	input	Actual speed	CV06
CV06.SpeedSp	%QW70	Int	output	Speed setpoint	CV06
CV07.Start	%I7.5	Bool	input	Local start	CV07
CV07.Stop	%I7.6	Bool	input	Local stop	CV07
CV07.PEInfeed	%I7.7	Bool	input	PE infeed	CV07
CV07.PEDischarge	%I8.0	Bool	input	PE discharge	CV07
CV07.Jam	%I8.1	Bool	input	Jam sensor	CV07
CV07.ContactorFb	%I8.2	Bool	input	Contactor feedback	CV07
CV07.ProtectFb	%I8.3	Bool	input	Protection feedback	CV07
CV07.Ready	%I8.4	Bool	input	Section ready	CV07
CV07.RunCmd	%Q2.0	Bool	output	Run command	CV07
CV07.FaultLamp	%Q2.1	Bool	output	Fault lamp	CV07
CV07.VfdFault	%I8.5	Bool	input	VFD fault	CV07
CV07.VfdReady	%I8.6	Bool	input	VFD ready	CV07
CV07.SpeedAct	%IW72	Int	input	Actual speed	CV07
CV07.SpeedSp	%QW72	Int	output	Speed setpoint	CV07
CV08.Start	%I8.7	Bool	input	Local start	CV08
CV08.Stop	%I9.0	Bool	input	Local stop	CV08
CV08.PEInfeed	%I9.1	Bool	input	PE infeed	CV08
CV08.PEDischarge	%I9.2	Bool	input	PE discharge	CV08
CV08.Jam	%I9.3	Bool	input	Jam sensor	CV08
CV08.ContactorFb	%I9.4	Bool	input	Contactor feedback	CV08
CV08.ProtectFb	%I9.5	Bool	input	Protection feedback	CV08
CV08.Ready	%I9.6	Bool	input	Section ready	CV08
CV08.RunCmd	%Q2.2	Bool	output	Run command	CV08
CV08.FaultLamp	%Q2.3	Bool	output	Fault lamp	CV08
CV09.Start	%I9.7	Bool	input	Local start	CV09
CV09.Stop	%I10.0	Bool	input	Local stop	CV09
CV09.PEInfeed	%I10.1	Bool	input	PE infeed	CV09
CV09.PEDischarge	%I10.2	Bool	input	PE discharge	CV09
CV09.Jam	%I10.3	Bool	input	Jam sensor	CV09
CV09.ContactorFb	%I10.4	Bool	input	Contactor feedback	CV09
CV09.ProtectFb	%I10.5	Bool	input	Protection feedback	CV09
CV09.Ready	%I10.6	Bool	input	Section ready	CV09
CV09.RunCmd	%Q2.4	Bool	output	Run command	CV09
CV09.FaultLamp	%Q2.5	Bool	output	Fault lamp	CV09
CV09.RevCmd	%Q2.6	Bool	output	Reverse command	CV09
CV09.VfdFault	%I10.7	Bool	input	VFD fault	CV09
CV09.VfdReady	%I11.0	Bool	input	VFD ready	CV09
CV09.SpeedAct	%IW74	Int	input	Actual speed	CV09
CV09.SpeedSp	%QW74	Int	output	Speed setpoint	CV09
CV10.Start	%I11.1	Bool	input	Local start	CV10
CV10.Stop	%I11.2	Bool	input	Local stop	CV10
CV10.PEInfeed	%I11.3	Bool	input	PE infeed	CV10
CV10.PEDischarge	%I11.4	Bool	input	PE discharge	CV10
CV10.Jam	%I11.5	Bool	input	Jam sensor	CV10
CV10.ContactorFb	%I11.6	Bool	input	Contactor feedback	CV10
CV10.ProtectFb	%I11.7	Bool	input	Protection feedback	CV10
CV10.Ready	%I12.0	Bool	input	Section ready	CV10
CV10.RunCmd	%Q2.7	Bool	output	Run command	CV10
CV10.FaultLamp	%Q3.0	Bool	output	Fault lamp	CV10
CV10.VfdFault	%I12.1	Bool	input	VFD fault	CV10
CV10.VfdReady	%I12.2	Bool	input	VFD ready	CV10
CV10.SpeedAct	%IW76	Int	input	Actual speed	CV10
CV10.SpeedSp	%QW76	Int	output	Speed setpoint	CV10
CV11.Start	%I12.3	Bool	input	Local start	CV11
CV11.Stop	%I12.4	Bool	input	Local stop	CV11
CV11.PEInfeed	%I12.5	Bool	input	PE infeed	CV11
CV11.PEDischarge	%I12.6	Bool	input	PE discharge	CV11
CV11.Jam	%I12.7	Bool	input	Jam sensor	CV11
CV11.ContactorFb	%I13.0	Bool	input	Contactor feedback	CV11
CV11.ProtectFb	%I13.1	Bool	input	Protection feedback	CV11
CV11.Ready	%I13.2	Bool	input	Section ready	CV11
CV11.RunCmd	%Q3.1	Bool	output	Run command	CV11
CV11.FaultLamp	%Q3.2	Bool	output	Fault lamp	CV11
CV12.Start	%I13.3	Bool	input	Local start	CV12
CV12.Stop	%I13.4	Bool	input	Local stop	CV12
CV12.PEInfeed	%I13.5	Bool	input	PE infeed	CV12
CV12.PEDischarge	%I13.6	Bool	input	PE discharge	CV12
CV12.Jam	%I13.7	Bool	input	Jam sensor	CV12
CV12.ContactorFb	%I14.0	Bool	input	Contactor feedback	CV12
CV12.ProtectFb	%I14.1	Bool	input	Protection feedback	CV12
CV12.Ready	%I14.2	Bool	input	Section ready	CV12
CV12.RunCmd	%Q3.3	Bool	output	Run command	CV12
CV12.FaultLamp	%Q3.4	Bool	output	Fault lamp	CV12
CV12.RevCmd	%Q3.5	Bool	output	Reverse command	CV12
CV12.VfdFault	%I14.3	Bool	input	VFD fault	CV12
CV12.VfdReady	%I14.4	Bool	input	VFD ready	CV12
CV12.SpeedAct	%IW78	Int	input	Actual speed	CV12
CV12.SpeedSp	%QW78	Int	output	Speed setpoint	CV12
